id,provenience,ancient_name,modern_name,total_occurences
152,Udannu (mod. uncertain),Udannu,uncertain,0
151,Kumu (mod. uncertain),Kumu,uncertain,0
127,Bit-ali-... (mod. uncertain),Bit-ali-...,uncertain,0
126,uncertain (mod. Tell Sabaa),uncertain,Tell Sabaa,0
125,Bit-ṭab-bel (mod. uncertain),Bit-ṭab-bel,uncertain,0
123,uncertain (mod. Abu Sêcher),uncertain,Abu Sêcher,0
122,uncertain (mod. Za'aleh),uncertain,Za'aleh,0
121,uncertain (mod. Abu Jawan),uncertain,Abu Jawan,0
120,Seleucia (mod. Tell 'Umar),Seleucia,Tell 'Umar,0
118,Shaddikanni (mod. Tell Ajaja),Shaddikanni,Tell Ajaja,0
117,uncertain (mod. Hamadan),uncertain,Hamadan,0
116,uncertain (mod. Sar-i-pul-i-Zohāb),uncertain,Sar-i-pul-i-Zohāb,0
115,uncertain (mod. Abu Fandowa),uncertain,Abu Fandowa,0
113,uncertain (mod. Tell Hammam),uncertain,Tell Hammam,0
112,"uncertain (mod. Padakka/Ha'it, Saudi Arabia)",uncertain,"Padakka/Ha'it, Saudi Arabia",0
111,uncertain (mod. Ben Shemen),uncertain,Ben Shemen,0
109,Dur-Untaš (mod. Chogha Zanbil),Dur-Untaš,Chogha Zanbil,0
108,uncertain (mod. Bardi Sanjian Bitwata),uncertain,Bardi Sanjian Bitwata,0
107,uncertain (mod. Tulul al-Lak),uncertain,Tulul al-Lak,0
106,uncertain (mod. Dharan),uncertain,Dharan,0
105,Uruk (mod. Warka),Uruk,Warka,0
128,Girigu (mod. uncertain),Girigu,uncertain,0
129,uncertain (mod. Tepe Farukhabad),uncertain,Tepe Farukhabad,0
130,Tutub (mod. Khafaje),Tutub,Khafaje,0
142,uncertain (mod. Jerwan),uncertain,Jerwan,0
150,uncertain (mod. Giricano),uncertain,Giricano,0
149,Me-Turran (mod. Tell Haddad),Me-Turran,Tell Haddad,0
148,uncertain (mod. Tell al-Diba'i),uncertain,Tell al-Diba'i,0
147,Ecbatana (mod. uncertain),Ecbatana,uncertain,0
146,uncertain (mod. Tepe Sofalin),uncertain,Tepe Sofalin,0
145,uncertain (mod. Uhudu),uncertain,Uhudu,0
144,uncertain (mod. Sidon),uncertain,Sidon,0
143,Emar (mod. Tell Meskene),Emar,Tell Meskene,0
141,Kar-bel-matati (mod. uncertain),Kar-bel-matati,uncertain,0
131,Ugarit (mod. Ras Shamra),Ugarit,Ras Shamra,0
140,uncertain (mod. Tepe Gotvand),uncertain,Tepe Gotvand,0
138,uncertain (mod. Ishan-Dhahak),uncertain,Ishan-Dhahak,0
137,uncertain (mod. Chogha Mish),uncertain,Chogha Mish,0
136,Ašnakkum (mod. Chagar Bazar),Ašnakkum,Chagar Bazar,0
135,Dur-Katlimmu (mod. Tall Shekh Hamad),Dur-Katlimmu,Tall Shekh Hamad,0
134,Kar-Nabu (mod. uncertain),Kar-Nabu,uncertain,0
133,Bad-Tibira (mod. Tell Medinah),Bad-Tibira,Tell Medinah,0
132,Larak (mod. Tell Wilayah),Larak,Tell Wilayah,0
637,Guzana (mod. Tell Halaf),Guzana,Tell Halaf,0
