,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
7888,à,à,ADP,ADP,case,x,True,True
7889,m,m,NOUN,NOUN,expl:comp,x,True,False
7890,u,u,ADP,ADP,case,x,True,False
7891,r,r,PROPN,PROPN,obl:arg,x,True,False
7892,r,r,ADP,ADP,advmod,x,True,False
7893,i,i,ADJ,ADJ,obl:arg,x,True,True
7894,-,-,PRON,PRON,obl:arg,-,False,False
7895,a,avoir,PROPN,PROPN,obl:mod,x,True,True
7896,-,-,PROPN,PROPN,obl:arg,-,False,False
7897,na,na,PROPN,PROPN,obl:arg,xx,True,True
7898,-,-,PROPN,PROPN,obl:mod,-,False,False
7899,ba,ba,PROPN,PROPN,obl:arg,xx,True,False
7900,-,-,PROPN,PROPN,obl:mod,-,False,False
7901,ak,ak,VERB,VERB,obl:mod,xx,True,False
7902,à,à,ADP,ADP,case,x,True,True
7903,Ur,Ur,PROPN,PROPN,obl:arg,Xx,True,False
7904,.,.,PUNCT,PUNCT,punct,.,False,False
7905,L’,l’,DET,DET,det,X’,False,True
7906,étymologie,étymologie,NOUN,NOUN,nsubj:pass,xxxx,True,False
7907,du,de,ADP,ADP,case,xx,True,True
7908,nom,nom,NOUN,NOUN,nmod,xxx,True,False
7909,n’,n’,NOUN,NOUN,nmod,x’,False,True
7910,est,être,AUX,AUX,aux:pass,xxx,True,True
7911,toutefois,toutefois,ADV,ADV,advmod,xxxx,True,False
7912,pas,pas,ADV,ADV,advmod,xxx,True,True
7913,assurée,assurer,VERB,VERB,ROOT,xxxx,True,False
7914,(,(,PUNCT,PUNCT,punct,(,False,False
7915,cf.,cf.,VERB,VERB,xcomp,xx.,False,False
7916,A.,A.,PROPN,PROPN,obj,X.,False,False
7917,R.,R.,PROPN,PROPN,obj,X.,False,False
7918,George,George,PROPN,PROPN,flat:name,Xxxxx,True,False
7919,",",",",PUNCT,PUNCT,punct,",",False,False
7920,Mesopotamian,Mesopotamian,PROPN,PROPN,conj,Xxxxx,True,False
7921,Civilizations,Civilizations,PROPN,PROPN,flat:name,Xxxxx,True,False
7922,(,(,PUNCT,PUNCT,punct,(,False,False
7923,Winona,Winona,PROPN,PROPN,appos,Xxxxx,True,False
7924,Lake,Lake,PROPN,PROPN,flat:name,Xxxx,True,False
7925,",",",",PUNCT,PUNCT,punct,",",False,False
7926,Indiana,Indiana,PROPN,PROPN,nmod,Xxxxx,True,False
7927,),),PUNCT,PUNCT,punct,),False,False
7928,  ,  ,SPACE,SPACE,dep,  ,False,False
7929,5,5,NUM,NUM,nummod,d,False,False
7930,[,[,PUNCT,PUNCT,punct,[,False,False
7931,1993,1993,NUM,NUM,obl:mod,dddd,False,False
7932,],],PUNCT,PUNCT,punct,],False,False
7933,128,128,NUM,NUM,obl:mod,ddd,False,False
7934,avec,avec,ADP,ADP,case,xxxx,True,True
7935,litt,litt,NOUN,NOUN,nmod,xxxx,True,False
7936,.,.,PUNCT,PUNCT,punct,.,False,False
7937,ant,er,VERB,VERB,ROOT,xxx,True,False
7938,.,.,PUNCT,PUNCT,punct,.,False,False
7939,;,;,PUNCT,PUNCT,punct,;,False,False
7940,D.,D.,PROPN,PROPN,ROOT,X.,False,False
7941,O.,O.,PROPN,PROPN,flat:name,X.,False,False
7942,Edzard,Edzard,PROPN,PROPN,flat:name,Xxxxx,True,False
7943,",",",",PUNCT,PUNCT,punct,",",False,False
7944,Reallexikon,Reallexikon,PROPN,PROPN,conj,Xxxxx,True,False
7945,der,der,X,X,dep,xxx,True,False
7946,Assyriologie,assyriologie,NOUN,NOUN,ROOT,Xxxxx,True,False
7947,und,und,DET,DET,case,xxx,True,False
7948,vorderasiatischen,vorderasiatischen,NOUN,NOUN,nmod,xxxx,True,False
7949,Archaologie,archaologie,NOUN,NOUN,ROOT,Xxxxx,True,False
7950,  ,  ,SPACE,SPACE,dep,  ,False,False
7951,8,8,NUM,NUM,nummod,d,False,False
7952,[,[,PUNCT,PUNCT,punct,[,False,False
7953,1993–1997,1993–1997,NUM,NUM,nummod,dddd–dddd,False,False
7954,],],PUNCT,PUNCT,punct,],False,False
7955,433,433,NUM,NUM,nummod,ddd,False,False
7956,;,;,PUNCT,PUNCT,punct,;,False,False
7957,field,field,PROPN,PROPN,nsubj,xxxx,True,False
7958,numbers,number,ADJ,ADJ,amod,xxxx,True,False
7959,of,of,X,X,nummod,xx,True,False
7960,tablets,tablet,NOUN,NOUN,nmod,xxxx,True,False
7961,excavated,excavated,PRON,PRON,punct,xxxx,True,False
7962,at,at,X,X,dep,xx,True,False
7963,Warka,Warka,PROPN,PROPN,ROOT,Xxxxx,True,False
7964,  ,  ,SPACE,SPACE,dep,  ,False,False
7965,field,field,X,X,amod,xxxx,True,False
7966,numbers,number,ADJ,ADJ,amod,xxxx,True,False
7967,of,of,X,X,nummod,xx,True,False
7968,tablets,tablet,NOUN,NOUN,nmod,xxxx,True,False
7969,excavated,excavated,PRON,PRON,cop,xxxx,True,False
7970,at,at,X,X,dep,xx,True,False
7971,Warka,Warka,PROPN,PROPN,dep,Xxxxx,True,False
7972,  ,  ,SPACE,SPACE,dep,  ,False,False
7973,Hallo,Hallo,PROPN,PROPN,flat:name,Xxxxx,True,False
7974,",",",",PUNCT,PUNCT,punct,",",False,False
7975,BiOr,BiOr,PROPN,PROPN,dep,XxXx,True,False
7976,.,.,PUNCT,PUNCT,punct,.,False,False
7977,56,56,NUM,NUM,ROOT,dd,False,False
7978,[,[,PUNCT,PUNCT,punct,[,False,False
7979,1999,1999,NUM,NUM,nmod,dddd,False,False
7980,],],PUNCT,PUNCT,punct,],False,False
7981,355,355,NUM,NUM,ROOT,ddd,False,False
7982,),),PUNCT,PUNCT,punct,),False,False
7983,.,.,PUNCT,PUNCT,punct,.,False,False
7984,-ba,-ba,PROPN,PROPN,ROOT,-xx,False,False
7985,-,-,PROPN,PROPN,punct,-,False,False
7986,a,avoir,AUX,AUX,aux:tense,x,True,True
7987,=,=,AUX,AUX,cop,=,False,False
7988,{,{,VERB,VERB,ROOT,{,False,False
7989,b,b,ADP,ADP,nmod,x,True,False
7990,+,plus,ADP,ADP,case,+,False,False
7991,ak,ak,NOUN,NOUN,nmod,xx,True,False
7992,},},PROPN,PROPN,nmod,},False,False
7993,:,:,PUNCT,PUNCT,punct,:,False,False
7994,Attesté,Attesté,PROPN,PROPN,dep,Xxxxx,True,False
7995,probabl,probabl,PROPN,PROPN,ROOT,xxxx,True,False
7996,.,.,PUNCT,PUNCT,punct,.,False,False
7997,dans,dans,ADP,ADP,case,xxxx,True,True
7998,TMH,tmh,NOUN,NOUN,ROOT,XXX,True,False
7999,Neue,Neue,PROPN,PROPN,nmod,Xxxx,True,False
8000,Folge,Folge,PROPN,PROPN,ROOT,Xxxxx,True,False
8001,  ,  ,SPACE,SPACE,dep,  ,False,False
8002,1/2,1/2,NUM,NUM,flat:name,d/d,False,False
